"Category","RelativePath","Bytes","Chars","Lines","SHA256","ChunkChars","TotalChunks","ReadUntil","Status"
"00-book","00-book\David Crowley, Susan E. Reid：《Socialist Spaces Sites of Everyday Life in the Eastern Bloc》，2002.md","636509","633155","26","6FEBEEF54BDD2D877B708630D19CBE60D7EF8E56DF088BBF95CD39E8FF61EE21","7000","91","633155","COMPLETE"
"00-book","00-book\David Crowley：《Warsaw》.md","404809","399515","1513","D05BC7A8EBCD469CF8D4113CDE966CDCD85C5B4CDF62802D199CD6FF5509781E","7000","58","399515","COMPLETE"
"00-book","00-book\David Raizman：《History of Modern Design》，2023.md","1698856","1690332","33","87F671B0899CDC797341A6520F6B2DB4A98F0F316C5BF3F78E53CEDB3164E49B","7000","242","1690332","COMPLETE"
"00-book","00-book\David Raizman：《History of Modern Design》.md","1548909","1545591","10189","0B679F3BD50335017EFED6F9B2190561C819132457AF97A44F28C1B756134D9F","7000","221","1545591","COMPLETE"
"00-book","00-book\Dennis P. Doordan：《Design History An Anthology》.md","751113","750079","38","7263388E5708632C1F5B8B7C6868840C13B8936B0BC2FE63CE6EA9F7BBBAC6EF","7000","108","0","PENDING"
"00-book","00-book\Deposit Insurance around the World： Issues of Design and -- AslÄ± DemirgÃ1⁄4Ã§-K.md","1011188","1005874","5443","FD9D6A2BB9CA00E14151DFA1678441C4DFE84DD46BCB534C9891736C431D3EEE","7000","144","0","PENDING"
"00-book","00-book\Design and Creativity Policy, Management and Practice (Guy Julier Liz Moor (edit.md","724786","716721","3415","DF881755F19274E7D4BAD312D1F416CC1B2D51964E5C1A6B737B06F2929EDF5E","7000","103","0","PENDING"
"00-book","00-book\Design and the Creation of Value -- John Heskett; Clive Dilnot; Suzan Boztepe --.md","564966","559886","3327","E128ABAFF5D4888E2C24C1D2ABCA04ADB5B30ED91A17F37C8FFFC94A1196DD0B","7000","80","0","PENDING"
"00-book","00-book\Design Anthropology in Context _ An Introduction to Design -- Adam Drazin -- Lon.md","774905","768750","3325","E875128DBDAC066DF0CA4F1A51FEA81E7BB79B8674CC7186CC7A4DA74AB96CF0","7000","110","0","PENDING"
"00-book","00-book\Design discourse _ history, theory, criticism -- Margolin, Victor, 1941- -- Chic.md","899472","898910","3583","3E95C34508E4FC3A49FA2667E719190A3A7881162163C28E0D53EBFB840BFA64","7000","129","0","PENDING"
"00-book","00-book\Design Fiction_ A Method Toolbox for Design Research in a -- Martin Wiedmer; Sim.md","41666","41534","241","183A6E6550BEB52EB178B03E62844440FBD00B645F75C87756D8AA55650D3D92","7000","6","0","PENDING"
"00-book","00-book\Design futuring ： sustainability, ethics, and new practice -- Tony Fry -- 1, Lon.md","496808","495790","2786","3F2C33D97634FD98A3FF9FEBF304A1C3CFBFB734E43F62C4725A7036939AF5E9","7000","71","0","PENDING"
"00-book","00-book\Design History and Culture ： Methods and Approaches -- Javier Gimeno-Martínez --.md","806600","798431","4373","538245123397079E251D3B0AF7CA5C3F8E09A71F5BE1A3848A95494AC08E10FB","7000","115","0","PENDING"
"00-book","00-book\Design Research Now __ The Uneasy Relationship between -- Susann Vihma; Ralf Mic.md","36713","36459","197","9D842BC9BC559ADC5F10652BD40FE1D46BFFFB01D63603A1814622B91B96B698","7000","6","0","PENDING"
"00-book","00-book\Design Research： Methods and Perspectives (The MIT Press) -- Laurel, Brenda -- C.md","858658","856719","6289","1A308A8C6DE6BA0F37AC7D867212D2F6358FB02EED6FB7F7AD6D628FAC1E9505","7000","123","0","PENDING"
"00-book","00-book\Design, Empathy, Interpretation： Toward Interpretive Design -- Koskinen, Ilpo_ -.md","446343","442638","2827","C13F01BD3DEB136EA3DF9D73779210E93DFE7161AE5A8A73DCC817DE55112B75","7000","64","0","PENDING"
"00-book","00-book\Design, History and Time _ New Temporalities in a Digital -- Hendon, Zoë (editor.md","506680","498843","3036","4B7205A9AFA9E0946A6E35E6B2019EF682AADC10FA63B377AFCCA10459597200","7000","72","0","PENDING"
"00-book","00-book\Designing Interactions.md","1075879","1067211","7260","2B44C006A7DE90856D202FEA85409FEB6856C6BEC94B2FDE2A585FA7BB8D8763","7000","153","0","PENDING"
"00-book","00-book\Designing Mobile Interfaces _ Patterns for Interaction -- Hoober, Steven; Berkma.md","1174417","1168076","11703","B0C87531ED5B157B9294AF56C36B6AFEE8FFA15954F528CB263EB53C57CDE9A2","7000","167","0","PENDING"
"00-book","00-book\Dewey and Design： A Pragmatist Perspective for Design -- Brian S_ Dixon -- Desig.md","590715","583455","2914","E1CAA38BFF4042BEE91872DBCDD8840DC600C54D1A2DDBE83DDBFAB2DA80D323","7000","84","0","PENDING"
"00-book","00-book\Deyan Sudjic：《B is for Bauhaus, Y is for YouTube Designing the Modern World from A to Z》.md","667415","663540","88","15AD098CE74754F348A578BBF51C1B5FB6408BFC866BE4B2A3BDE491F9DC6647","7000","95","0","PENDING"
"00-book","00-book\Deyan Sudjic：《The Language of Things Understanding the World of Desirable Objects》，2008.md","309978","308201","26","624F54FE55A483D5819F274EC5B3C78EF492B13152F22C513EB0BACC0505BA15","7000","45","0","PENDING"
"00-book","00-book\Dickerman：《Dada Zurich, Berlin, Hannover, Cologne, New York, Paris》.md","1495560","1484839","13791","7B348F14959B4723B526AA70AAB6D939EF55B1C31AA87CA45FF1B0C6789B260E","7000","213","0","PENDING"
